No.,広告動画,タイトル名,投稿日,撮影日,素材/完成リンク,構成・資料,No.+タイトル名,撮影担当者,編集担当者,編集納期,発注済み,納品済み,商談化動画,YouTubeリンク
1,,【速報】Google I/O,2026/05/20 (水),2026/05/20 (水),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,,No.1_【速報】Google I/O,大川,望月,2026/05/20 (水),TRUE,TRUE,,https://www.youtube.com/watch?v=PCfqQ9otvhU
2,,Geminiの実は知らない活用6選,2026/05/21 (木),2026/05/21 (木),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,,No.2_Geminiの実は知らない活用6選,大川,河村,2026/05/21 (木),TRUE,TRUE,,https://www.youtube.com/watch?v=ne_Jzl7S0oc
3,,Codex神アプデ6選,2026/05/22 (金),2026/05/22 (金),https://drive.google.com/drive/folders/1fLmpjRZwfN5odWs-fHwwbx6GvPxT1jdk,,No.3_Codex神アプデ6選,大川,榎本くん,2026/05/22 (金),TRUE,TRUE,,https://www.youtube.com/watch?v=RBMHcYWXTOQ
6,AI社員構築代行,Codexで動画編集を完全自動化,2026/05/24 (日),2026/05/24 (日),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://drive.google.com/drive/folders/1nNcOutxE3iTNTqvzOvu-OH0dxogCt4GL,No.6_Codexで動画編集を完全自動化,河村,河村,2026/05/24 (日),TRUE,TRUE,,https://www.youtube.com/watch?v=8Z7al9JfckE
5,AI社員構築研修,CodexでSNSを完全自動化,2026/05/25 (月),2026/05/24 (日),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,,No.5_CodexでSNSを完全自動化,河村,榎本くん,2026/05/25 (月),TRUE,TRUE,,https://www.youtube.com/watch?v=rcgcLSbsi2g
16,AI社員構築研修,GrokBuild,2026/05/26 (火),2026/05/26 (火),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://gist.github.com/fuuuuuuma/ea7254132e963227a73b3bfc4d810e56,No.16_GrokBuild,河村,河村,2026/05/26 (火),TRUE,TRUE,,https://www.youtube.com/watch?v=xhrDWXEiLbY
4,ClaudeCode研修,ClaudeDesign vs OpenDesign,2026/05/27 (水),2026/05/25 (月),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://gist.github.com/fuuuuuuma/0812651f41cfb01c563fec54d821fbb3,No.4_ClaudeDesign vs OpenDesign,大川,諏波,2026/05/27 (水),TRUE,TRUE,,https://www.youtube.com/watch?v=yAmt8awTMxw
25,AI社員構築研修,Claude Opus4.8,2026/05/29 (金),2026/05/29 (金),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/claude-opus-4-8-guide,No.25_Claude Opus4.8,河村,山本,2026/05/29 (金),TRUE,TRUE,,https://www.youtube.com/watch?v=zLUzhFUdWYM
26,ClaudeCode研修,Runway MCP連携,2026/05/30 (土),2026/05/30 (土),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/runway-mcp-prompts-100,No.26_Runway MCP連携,河村,奥村,2026/05/30 (土),TRUE,TRUE,,https://www.youtube.com/watch?v=GKWi8gzYtXI
24,AI社員構築代行,Windows勢、悲願のComputerUse,2026/05/31 (日),2026/05/29 (金),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/openai-codex-guide-ja,No.24_Windows勢、悲願のComputerUse,河村,河村,2026/05/30 (土),TRUE,TRUE,,https://www.youtube.com/watch?v=L2RDOxFUkcQ
7,AI社員構築代行,CodexでSEO完全自動化,2026/06/1 (月),2026/05/26 (火),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://drive.google.com/file/d/15VlUtq6wuwQSYYTQ0xAfV5b5TfwRB4Kt/view,No.7_CodexでSEO完全自動化,大川,奥村,2026/05/28 (木),TRUE,TRUE,,https://www.youtube.com/watch?v=eUe-cg2dD3k
8,AI社員構築研修,OpenAIでデザインを完全自動化,2026/06/2 (火),2026/05/27 (水),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/openai-design-automation/blob/main/README.md,No.8_OpenAIでデザインを完全自動化,大川,山本,2026/05/30 (土),TRUE,TRUE,,https://www.youtube.com/watch?v=q1-HiinCG-s
28,ClaudeCode研修,Codexアプデ（/sites）,2026/06/3 (水),2026/06/3 (水),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/ai-design-build-kit,No.28_Codexアプデ（/sites）,河村,榎本,2026/06/3 (水),TRUE,TRUE,,https://www.youtube.com/watch?v=Mh9LMmCeiZM
13,ClaudeCode研修,Antigravity2.0で開発を完全自動化,2026/06/4 (木),2026/06/1 (月),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/google-antigravity-2-guide-ja,No.13_Antigravity2.0で開発を完全自動化,大川,榎本,2026/06/3 (水),TRUE,TRUE,,https://www.youtube.com/watch?v=7VpWeUU7U9A
27,ClaudeCode研修,【速報】Codex app,2026/06/5 (金),2026/06/5 (金),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/openai-codex-2026-06-guide-ja,No.27_【速報】Codex app,河村,河村,2026/06/5 (金),TRUE,TRUE,,https://www.youtube.com/watch?v=VoFvpYWDJr8
9,AI社員構築代行,Codex / ClaudeCodeはもう忘れない【Obsidian】,2026/06/6 (土),2026/06/2 (火),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/ai-second-brain-kit,No.9_Codex / ClaudeCodeはもう忘れない【Obsidian】,大川,西村,2026/06/4 (木),TRUE,TRUE,,https://www.youtube.com/watch?v=j54h67o7q6w
10,AI社員構築研修,Codexで会社経営を完全自動化,2026/06/8 (月),2026/06/3 (水),https://drive.google.com/drive/folders/1iaWh3UB5Ruyc0gFArbGDaWjXdCMz5SF3?usp=sharing,https://github.com/fuuuuuuma/ai-team-builder,No.10_Codexで会社経営を完全自動化,河村,榎本,2026/06/5 (金),TRUE,TRUE,,https://www.youtube.com/watch?v=dRmg1l9eml0
29,AI社員構築代行,Claude Fable5（Mythos）,2026/06/10 (水),2026/06/10 (水),https://drive.google.com/drive/folders/1Sn9b_uXQJqEeL7v0_NiniiOMCI9tdo-F,https://github.com/fuuuuuuma/claude-fable-5-mythos-5-guide-ja,No.29_Claude Fable5（Mythos）,河村,河村,2026/06/10 (水),TRUE,TRUE,,https://www.youtube.com/watch?v=KS1U0vRdaXI
14,AI社員構築代行,Codexを10倍賢くする方法,2026/06/11 (木),2026/06/8 (月),https://drive.google.com/drive/folders/1xZUQ1bX0OjLmW2YknxiGaAxk4hnq2UJ4,https://github.com/fuuuuuuma/codex-10x-smarter-ja,No.14_Codexを10倍賢くする方法,大川,西村,2026/06/10 (水),TRUE,TRUE,,https://www.youtube.com/watch?v=q-WdjW6OMYU
11,AI社員構築研修,現最強モデルCursor徹底解説,2026/06/12 (金),2026/06/9 (火),https://drive.google.com/drive/folders/174I_BLQsoNDEmk_HSp-_NqQeKPHMea_G,https://github.com/fuuuuuuma/cursor-practical-guide-ja,No.11_現最強モデルCursor徹底解説,河村,望月,2026/06/11 (木),TRUE,TRUE,,https://www.youtube.com/watch?v=zCddKYi2JEY
15,ClaudeCode研修,これをすると100万円吹き飛びます,2026/06/13 (土),2026/06/9 (火),https://drive.google.com/drive/folders/1BY-lkgZV8SyGkIUri_L0-9mDNaz5tizu,https://github.com/fuuuuuuma/ai-agent-security-kit-ja,No.15_これをすると100万円吹き飛びます,河村,榎本,2026/06/12 (金),TRUE,TRUE,,https://www.youtube.com/watch?v=QENXeGectQU
12,AI社員構築代行,HermesAgent vs OpenClaw,2026/06/14 (日),2026/06/10 (水),https://drive.google.com/drive/folders/1XTyakFCBB2Pi7P4CjfUfkjwXHWXg59TE,https://github.com/fuuuuuuma/hermes-agent-vs-openclaw-guide-ja,No.12_HermesAgent vs OpenClaw,河村,望月,2026/06/13 (土),TRUE,TRUE,,https://www.youtube.com/watch?v=e4b3IaU_dHQ
17,AI社員構築研修,オススメSkillsランキングTOP5,2026/06/15 (月),2026/06/11 (木),https://drive.google.com/drive/folders/1tRj5xSw0xDDf4HO9A_Xhm_FW-fZN_uLL,https://github.com/fuuuuuuma/claude-skills-installer-ja,No.17_オススメSkillsランキングTOP5,大川,望月,2026/06/14 (日),TRUE,TRUE,,https://www.youtube.com/watch?v=LLfhVN2dhDg
18,ClaudeCode研修,知識を貯めるLilysAI（NoteBookLM論外）,2026/06/16 (火),2026/06/12 (金),https://drive.google.com/drive/folders/1QwrL4YaUoUZxLmzG0wvl8yqFg_N1GZ7u,https://lilys.ai?code=AEDFC84C,No.18_知識を貯めるLilysAI（NoteBookLM論外）,大川,奥村,2026/06/15 (月),TRUE,TRUE,,https://www.youtube.com/watch?v=Dh31wqEEDLM
20,ClaudeCode研修,Instagram・Threads完全自動化,2026/06/18 (木),2026/06/15 (月),https://drive.google.com/drive/folders/1wAY0pnrb9RQ2ZIHLjSV5PVbvTBQsdcQx,https://github.com/fuuuuuuma/claude-codex-threads-instagram-ja,No.20_Instagram・Threads完全自動化,河村,奥村,2026/06/17 (水),TRUE,TRUE,,https://www.youtube.com/watch?v=TRNCk5SKIv0
34,AI社員構築代行,【Codex】Record & Replay,2026/06/19 (金),2026/06/19 (金),https://drive.google.com/drive/folders/1HUh4mBOivsDQF51xdUu-4p9ggNQzIwji,https://github.com/fuuuuuuma/openai-record-replay-guide-ja,No.34_【Codex】Record & Replay,河村,河村,2026/06/20 (土),TRUE,TRUE,,https://www.youtube.com/watch?v=5HTqHTzpPRk
19,AI社員構築代行,オススメプラグイン7選,2026/06/20 (土),2026/06/16 (火),https://drive.google.com/drive/folders/1kz8dFaLonoWF-s5dIPokcajXsFQgUgVS,https://github.com/fuuuuuuma/claude-codex-toolkit-ja,No.19_オススメプラグイン7選,大川,山本,2026/06/18 (木),TRUE,TRUE,,https://www.youtube.com/watch?v=EgNHZJA6Wf8
31,AI社員構築代行,SpaceXがCursorを買収,2026/06/21 (日),2026/06/17 (水),https://drive.google.com/drive/folders/1FwvVPhlSYYjLS0v7MJaomjQaNpekQScL,"https://github.com/fuuuuuuma/spacex-cursor-acquisition-ja/tree/main
https://cursor.com/referral?code=3NTLANHAW3F5",No.31_SpaceXがCursorを買収,河村,榎本,2026/06/19 (金),TRUE,TRUE,,https://www.youtube.com/watch?v=8BZzQFPqFIY
22,AI社員構築研修,AGENTS.mdって何やねん,2026/06/22 (月),2026/06/17 (水),https://drive.google.com/drive/folders/147-J5tECDOjoK83mOElf6UHwo6y6LMBL,https://github.com/fuuuuuuma/agents-md-guide-ja,No.22_AGENTS.mdって何やねん,大川,望月,2026/06/20 (土),TRUE,TRUE,,https://www.youtube.com/watch?v=9gE95YE7AqY
23,AI社員構築代行,LoopでSNSを完全自動化,2026/06/23 (火),2026/06/18 (木),https://drive.google.com/drive/folders/1bkDKC4iNuP9WH5EsXX3a2gxAIm1bjRR6,https://github.com/fuuuuuuma/loop-sns-automation-kit,No.23_LoopでSNSを完全自動化,大川,奥村,2026/06/21 (日),TRUE,TRUE,,https://www.youtube.com/watch?v=NDpgLV684xs
